Brix,Refraktometerindex,Rel. Dichte,Zucker g/l,Zucker g/kg
10.0,1.34782,1.0391,82.2,79.1
10.1,1.34798,1.0395,83.3,80.1
10.2,1.34813,1.0399,84.3,81.1
10.3,1.34829,1.0403,85.4,82.1
10.4,1.34844,1.0407,86.5,83.1
10.5,1.34860,1.0411,87.5,84.1
10.6,1.34875,1.0415,88.6,85.0
10.7,1.34891,1.0419,89.6,86.0
10.8,1.34906,1.0423,90.7,87.0
10.9,1.34922,1.0427,91.8,88.0
11.0,1.34937,1.0431,92.8,89.0
11.1,1.34953,1.0436,93.9,90.0
11.2,1.34968,1.0440,95.0,91.0
11.3,1.34984,1.0444,96.0,92.0
11.4,1.34999,1.0448,97.1,92.9
11.5,1.35015,1.0452,98.2,93.9
11.6,1.35031,1.0456,99.3,94.9
11.7,1.35046,1.0460,100.3,95.9
11.8,1.35062,1.0464,101.4,96.9
11.9,1.35077,1.0468,102.5,97.9
12.0,1.35093,1.0472,103.5,98.9
12.1,1.35109,1.0477,104.6,99.9
12.2,1.35124,1.0481,105.7,100.8
12.3,1.35140,1.0485,106.8,101.8
12.4,1.35156,1.0489,107.8,102.8
12.5,1.35171,1.0493,108.9,103.8
12.6,1.35187,1.0497,110.0,104.8
12.7,1.35203,1.0501,111.1,105.8
12.8,1.35219,1.0506,112.2,106.8
12.9,1.35234,1.0510,113.2,107.8
13.0,1.35250,1.0514,114.3,108.7
13.1,1.35266,1.0518,115.4,109.7
13.2,1.35282,1.0522,116.5,110.7
13.3,1.35298,1.0527,117.6,111.7
13.4,1.35313,1.0531,118.7,112.7
13.5,1.35329,1.0535,119.7,113.7
13.6,1.35345,1.0539,120.8,114.7
13.7,1.35361,1.0543,121.9,115.6
13.8,1.35377,1.0548,123.0,116.6
13.9,1.35393,1.0552,124.1,117.6
14.0,1.35408,1.0556,125.2,118.6
14.1,1.35424,1.0560,126.3,119.6
14.2,1.35440,1.0564,127.4,120.6
14.3,1.35456,1.0569,128.5,121.6
