KMW,Oechsle,Alkohol
8.5,40,4.4
8.7,41,4.5
8.9,42,4.7
9.1,43,4.8
9.3,44,5.0
9.5,45,5.2
9.7,46,5.3
9.9,47,5.5
10.1,48,5.6
10.3,49,5.8
10.5,50,5.9
10.7,51,6.1
10.9,52,6.3
11.1,53,6.4
11.3,54,6.6
11.5,55,6.7
11.7,56,6.9
11.9,57,7.0
12.1,58,7.2
12.3,59,7.3
12.5,60,7.5
12.7,61,7.7
12.9,62,7.8
13.1,63,8.0
13.3,64,8.1
13.5,65,8.3
13.7,66,8.4
13.9,67,8.6
14.1,68,8.8
14.3,69,8.9
14.5,70,9.1
14.7,71,9.2
14.9,72,9.4
15.0,73,9.5
15.2,74,9.7
15.4,75,9.8
15.6,76,10.0
15.8,77,10.2
16.0,78,10.3
16.2,79,10.5
16.4,80,10.6
16.6,81,10.8
16.8,82,10.9
17.0,83,11.1
17.2,84,11.3
17.3,85,11.4
17.5,86,11.6
17.7,87,11.7
17.9,88,11.9
18.1,89,12.0
18.3,90,12.2
18.5,91,12.4
18.7,92,12.5
18.9,93,12.7
19.0,94,12.8
19.2,95,13.0
19.4,96,13.1
19.6,97,13.3
19.8,98,13.4
20.0,99,13.6
20.2,100,13.8
20.4,101,13.9
20.5,102,14.1
20.7,103,14.2
20.9,104,14.4
21.1,105,14.5
21.3,106,14.7
21.5,107,14.8
21.6,108,15.0
21.8,109,15.2
22.0,110,15.3
22.2,111,15.5
22.4,112,15.6
22.6,113,15.8
22.7,114,15.9
22.9,115,16.1
23.1,116,16.3
23.3,117,16.4
23.5,118,16.6
23.6,119,16.7
23.8,120,16.9
24.0,121,17.0
24.2,122,17.2
24.4,123,17.3
24.5,124,17.5
24.7,125,17.7
24.9,126,17.8
25.1,127,18.0
25.3,128,18.1
25.4,129,18.3
25.6,130,18.4
25.8,131,18.6
26.0,132,18.8
26.1,133,18.9
26.3,134,19.1
26.5,135,19.2
26.7,136,19.4
26.8,137,19.5
27.0,138,19.7
27.2,139,19.8
27.4,140,20.0
27.5,141,20.2
27.7,142,20.3
27.9,143,20.5
28.1,144,20.6
28.2,145,20.8
28.4,146,20.9
28.6,147,21.1
28.8,148,21.3
28.9,149,21.4
29.1,150,21.5
